Project Title,AMP ID,Cris Number,Modalities,Objective,Project Description,Status,Donor Agency,Donor Group,Donor Type,Financing Instrument,Funding Classification Date,Funding Status,Type Of Assistance,Actors,Issues,Measures Taken,Primary Sector,Primary Sector Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Responsible Organization,Executing Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,National Planning Objectives Level 4,National Planning Objectives Level 5,National Planning Objectives Level 6,National Planning Objectives Level 7,National Planning Objectives Level 8,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Description,Secondary Program,Secondary Program Level 1,Secondary Program Level 8,Financial Instrument,FY,Ministry Code,On/Off/Treasury Budget,Project Code,Donor Observations,Line Ministries Observations,Actual Approval Date,Actual Closed Date,Actual Start Date,Proposed Completion Date,Proposed Project Life,Proposed Start Date,Departement,Implementation Level,District,Region,Proposed Project Amount,2011 Planned Commitments,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Disbursements,2011 Planned Expenditures,2011 Actual Expenditures,2012 Planned Commitments,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Disbursements,2012 Planned Expenditures,2012 Actual Expenditures,2013 Planned Commitments,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Disbursements,2013 Planned Expenditures,2013 Actual Expenditures,2014 Planned Commitments,2014 Actual Commitments,2014 Actual Disbursements,2014 Planned Disbursements,2014 Planned Expenditures,2014 Actual Expenditures,Planned Commitments,Actual Commitments,Actual Disbursements,Planned Disbursements,Planned Expenditures,Actual Expenditures
  Appui a la profession comptable en Cote d'Ivoire,cmrx_0342,,Totally acquired,Ameliorer la capacite du corps professionnel comptable de l’OECCA-CI,Composante 1 : Fournitures Composante 2 : services de consultants y compris auditcomposante 3 : Formations & Ateliers,Closed," - Association Internationale de Developpement
 - Etat"," - Groupe Banque Mondiale
 - etat"," - Multilateral
 - etat"," - Don projet
 - Ressources Internes",31/12/2012,Closed," - Don financier
 - Etat Contrepartie", , , ,04 - AFFAIRES ECONOMIQUES,"041 - Tutelle de l’economie generale, des echanges et de l’emploi",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"151 - GOUVERNEMENT ET SOCIETE CIVILE, GENERAL",Ministere aupres du Premier Ministre charge de l’Economie et des Finances, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Cadre Macroeconomique et Finances Publiques,La gouvernance economique est amelioree, , , , , , , , , , , , , , ,,,On Budget, , ,"Vu la contrainte de celerite des operations liees a l’execution du don si un regard attentif n’est pas porte a cette question, la motivation du personnel pourrait etre affectee dans le cadre de l’execution des dons.",24/03/2010,31/12/2013,26/05/2010,30/09/2013,,, ,National, , ,527455.74,0,0,0,0,0,0,0,417900,341880,341880,0,0,0,0,183055.74,185155.74,0,0,0,0,0,0,0,0,0,527455.74,524935.74,527035.74,0,0
  Stabilisation securitaire et consolidation de la paix,112007161974,,Totally acquired, , ,Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,24/09/2012,Ongoing,Don financier, ,RAS, ,03 - ORDRE ET SECURITE PUBLICS,"036 - Ordre et securite publics, n.c.a",100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"152 - PREVENTION ET REGLEMENT DES CONFLITS, PAIX ET SECURITE","Ministere de la Justice, des Droits de l'Homme et des Libertes Publiques", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Defense et Securite,La securite et la protection des personnes et des biens sont assurees au plan national, , , , , , , , , , , , , , ,,,Off Budget, , , ,24/09/2012,24/09/2015,01/12/2012,,,, ,National, , , ,0,0,0,0,0,0,0,243599.999,0,0,0,0,0,0,140700,147000,0,0,0,0,0,102779.755,0,0,0,243599.999,140700,249779.755,0,0
  Assistance aux deplaces internes,cmrx_0325,,Funding Search, , ,Awaiting implementation,Communaute Economique des Etats de l'Afrique de l'Ouest,Communaute Economique des etats de l'Afrique de l'Ouest,Multilateral,Don projet,,Awaiting signature,Don financier, ,RAS, ,03 - ORDRE ET SECURITE PUBLICS, ,100 - INFRASTRUCTURE ET SERVICES SOCIAUX,"152 - PREVENTION ET REGLEMENT DES CONFLITS, PAIX ET SECURITE","Ministere de la Justice, des Droits de l'Homme et des Libertes Publiques", ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Paix et Cohesion Sociale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,,,,,,, ,National, , ,84420,0,0,0,0,0,0,84420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84420,0,0,0,0,0
  Capacities for Early Recovery,cmrx_0314,,Totally acquired, , ,Ongoing,Programme des Nations Unies pour le Developpement,Systeme des Nations Unies,Multilateral,Don projet,,Ongoing,Don financier, , , ,01 - SERVICES GENERAUX DES ADMINISTRATIONS PUBLIQUES, ,400 - DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,430 - AUTRES MULTISECTEURS,Cabinet du Premier Ministre, ,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,RESULTAT1 : LES POPULATIONS VIVENT EN HARMONIE DANS UNE SOCIETE SECURISEE DANS LAQUELLE LA BONNE GOUVERNANCE EST ASSUREE,Gouvernance Administrative et Territoriale, , , , , , , , , , , , , , , ,,,Off Budget, , , ,19/01/2009,,,,,, ,National, , ,15514199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13708800,13708800,0,0,0,0,0,0,0,0,0,15514199,13708800,13708800,0,0
  Improving livelihood and resilience of affected population by the post-election crisis in Cote d'Ivoire ( OSRO/IVC/203/USA),112007172621,,Totally acquired,Improve the food security and to reinforce livelihoods and resilience of people affected by the post-election crisis in the district of Montagne. To reinforce the livelihoods of vulnerable populations integrated in the perspective ranging from transition to sustainable development, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,14/06/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,14/06/2012,14/07/2013,14/06/2012,,,14/06/2012, ,National, , , ,0,0,0,0,0,0,0,809970,221130,221130,0,0,0,0,0,0,0,0,0,0,472138.265,472138.265,0,0,0,809970,693268.265,693268.265,0,0
"  Appui d'urgence a la securite alimentaire et nutritionnelle, aux moyens d'existence des menages vulnerables dans les zones affectees par la crise post-electorale (OSRO/IVC/102/SWI) SUISSE",112007172648,,Totally acquired,Ameliorer la securite alimentaire et nutritionnelle dans les regions les plus affectees par la crise post-electorale., ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,01/07/2011,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/07/2011,,01/07/2011,,,01/07/2011, ,National, , , ,0,355530,0,0,0,0,0,0,171570,171570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355530,171570,171570,0,0
"  Reinforcing emergency support to food security and nutrition, livelihood and reintegration of vulnerable households affected by the post-election crisis in Cote d'Ivoire (OSRO/IVC/103/CHA) OCHA",112007172651,,Totally acquired,"Reinforcing emergency support to food security and nutrition, livelihood and reintegration of vulnerable households affected by the post-election crisis in Cote d'Ivoire", ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,26/07/2011,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,26/07/2011,30/01/2012,26/07/2011,,,26/07/2011, ,National, , , ,0,738570,0,0,0,0,0,0,617610,617610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738570,617610,617610,0,0
  MTF/GLO/345/BMG-CountrySat,112007172656,,Totally acquired,"Strengthening the CountrySat systems established in the 17 Sub-Saharan countries and promoting the use of data:updating and strengthening the technical capacity of national staff, promoting high level Governement commitment,strengthening technical and coordination institutions, improving data quality and improving the relevance and use of data throught partership with key data users:", ,Ongoing,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,,Ongoing,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , ,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim,OBJECTIF 1 - Reduction de l'extreme pauvrete et de la faim, , , , , , , ,,,Off Budget, , , ,,31/12/2013,,,,, ,National, , , ,0,0,0,0,0,0,0,48930,25200,25200,0,0,0,0,21000,21000,0,0,0,0,0,0,0,0,0,48930,46200,46200,0,0
  Amelioration des moyens d'existence des menages affectes par la crise post-electorale en Cote d'Ivoire (OSRO/IVC/202/EC) ECHO,112007172654,,Totally acquired,Renforcer les moyens d'existence des populations en facilitant leur acces aux intrants par la mise a disposition de kits agricoles et d'appui technique leur permettant d'augmenter leur production et leur capacite alimentaire, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,02/01/2012,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,02/01/2012,,02/01/2012,,,02/01/2012, ,National, , , ,0,0,0,0,0,0,0,1997729.999,1698060,1698060,0,0,0,0,212100,212100,0,0,0,0,0,0,0,0,0,1997729.999,1910160,1910160,0,0
  Amelioration des moyens d'existence des menages affectes par la crise post-electorale et renforcement de l'analyse et de la coordination dans le domaine de la secuite alimentaire (OSRO/IVC/104/EC) ECHO,112007172660,,Totally acquired,Amelioration de la securite alimentaire des populations les plus affectees par la crise post-electorale, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,01/07/2011,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,01/07/2011,,,,,01/07/2011, ,National, , , ,0,1575630,0,0,0,0,0,0,877170,877170,0,0,0,0,12600,12600,0,0,0,0,0,0,0,0,0,1575630,889770,889770,0,0
  Appui d'urgence a la relance de l'agriculture ( TCP/IVC/3306),112007172661,,Totally acquired,"Soutenir le redemarrage de la production cerealiere et maraîchere par la fourniture de semences, d'engrais, d'outils et de formation technique en faveur de 4000 menages (24000 personnes) vulnerables affectees par le conflit.", ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,06/07/2011,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture, ,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,06/07/2011,,,,,06/07/2011, ,National, , , ,0,481529.999,0,0,0,0,0,0,165480,165480,0,0,0,0,2100,2100,0,0,0,0,0,0,0,0,0,481529.999,167580,167580,0,0
  Apprendre le long des frontieres pour vivre au-dela des frontieres: appui a l'approvisionnement des cabtines scolaires ( GCP/IVC/030/CEF),112007172662,,Totally acquired,Assurer la securite alimentaire et nutritionnelle des communautes scolaires en zones rurales a travers un renforcement des capacites de production des groupements de femmes et de jeunes et l'installation de jardins d'hydroponiques, ,Closed,Organisation des Nations Unies pour l'alimentation et l'agriculture,Systeme des Nations Unies,Multilateral,Don projet,07/05/2010,Closed,Don financier, , , ,04 - AFFAIRES ECONOMIQUES,"042 - Agriculture, sylviculture, peche, et chasse",300 - SECTEURS DE LA PRODUCTION,311 - AGRICULTURE,Ministere de l’Agriculture,Organisation des Nations Unies pour l'Enfance,"RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE","RESULTAT2: LA CREATION DE RICHESSES NATIONALES EST ACCRUE, SOUTENUE ET SES FRUITS SONT REPARTIS DANS L’EQUITE",Secteurs Strategiques,Agriculture, , , , , , , , , , , , , , ,,,Off Budget, , , ,07/05/2010,,07/05/2010,,,07/05/2010, ,National, , , ,0,0,2100,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242759.999,149940,149940,0,0
