Objective,Organizations and Project ID,Project Description,Project Title,Status,Actual Approval Date,Actual Completion Date,Actual Start Date,Proposed Approval Date,Proposed Completion Date,Proposed Start Date,Country,District,Region,Zone,Donor Agency,Cumulative Commitment,Cumulative Disbursement,Donor Group,Primary Sector,Primary Sector sub-sector,2010 Actual Commitments,2010 Actual Disbursements,2010 Planned Commitments,2010 Planned disbursements,2011 Actual Commitments,2011 Actual Disbursements,2011 Planned Commitments,2011 Planned disbursements,2012 Actual Commitments,2012 Actual Disbursements,2012 Planned Commitments,2012 Planned disbursements,2013 Actual Commitments,2013 Actual Disbursements,2013 Planned Commitments,2013 Planned disbursements,Total Actual Commitments,Total Actual Disbursements,Total Planned Commitments,Total Planned disbursements
  ,HA-G1020 (Banque interaméricaine de développement),,Universite de Quisqueya (UNIQ): Haiti Emergency Spending Allocation Request (HESAR) - (BID/HA-G1020),Ongoing,28/10/2010,,16/12/2010,28/10/2010,,16/12/2010,Haiti, , , ,Banque interaméricaine de développement,59655,59655,Banque interaméricaine de développement,110 - EDUCATION,114 - Éducation post-secondaire,59655,59655, , , , , , , , , , , , , , ,59655,59655, , 
  ,HA-X1020 (Banque interaméricaine de développement),,Preparation for MIF actions in Haiti following the earthquake: Emergency Approval - (BID/HA-X1020),Ongoing,,,,,22/01/2010,22/01/2010,Haiti, , , ,Banque interaméricaine de développement,880000,278012,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES, ,520000,127262, , , , , , , , , , , , , , ,880000,278012, , 
  ,HA-G1007 (Banque interaméricaine de développement),,SOGESOL:HAITI Emergency Spending Allocation Request (HESAR) - (BID/HA-G1007),Ongoing,,,,,26/02/2010,07/04/2010,Haiti, , , ,Banque interaméricaine de développement,82200,81738,Banque interaméricaine de développement,240 - BANQUES ET SERVICES FINANCIERS,24030 - Intermédiaires financiers officiels, ,81738, , , , , , , , , , , , , , ,82200,81738, , 
  ,HA-G1001 (Banque interaméricaine de développement), ,MCN:HAITI: Emergency Spending Allocation - (BID/HA-G1001),Ongoing,12/03/2010,,15/03/2010,12/03/2010,,15/03/2010,Haiti, , , ,Banque interaméricaine de développement,133000,122994,Banque interaméricaine de développement,160 - SERVICES ET INFRASTRUCTURES SOCIAUX DIVERS, , , , , , , , , , , , , , , , , ,133000,122994, , 
  ,HA-G1008 (Banque interaméricaine de développement), ,Action pour la Coopération avec la Micro Entreprise (ACME) : HAITI Emergency Allocation Request - (HESAR) - (BID/HA - G1008),Ongoing,12/03/2010,,09/04/2010,12/03/2010,,09/04/2010,Haiti, , , ,Banque interaméricaine de développement,135000,0,Banque interaméricaine de développement,240 - BANQUES ET SERVICES FINANCIERS,24040 - Intermédiaires financiers du secteur informel et semi formel, , , , , , , , , , , , , , , , ,135000, , , 
  ,HA-G1005 (Banque interaméricaine de développement), ,CCIH:HAITI Emergency Spending Allocation Request (HESAR) - (BID/HA-G1005),Ongoing,17/03/2010,,09/04/2010,17/03/2010,,09/04/2010,Haiti, , , ,Banque interaméricaine de développement,53620,53620,Banque interaméricaine de développement,160 - SERVICES ET INFRASTRUCTURES SOCIAUX DIVERS,16010 - Services sociaux, , , , , , , , , , , , , , , , ,53620,53620, , 
  ,HA-G1013 (Banque interaméricaine de développement),,FHAF:HAITI-Emergency Especial Allocation Request (HESAR) - (BID/HA-G1013),Ongoing,07/04/2010,,28/04/2010,07/04/2010,,28/04/2010,Haiti, ,Ouest, ,Banque interaméricaine de développement,152000,152000,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES,25010 - Services et institutions de soutien commerciaux, , , , , , , , , , , , , , , , ,152000,152000, , 
  ,HA-G1014 (Banque interaméricaine de développement), ,DID:HAITI-Emergency Especial Allocation Request (HESAR) - (BID/HA-G1014),Ongoing,07/04/2010,,12/04/2010,07/04/2010,,12/04/2010,Haiti, , , ,Banque interaméricaine de développement,112000,112000,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES,25010 - Services et institutions de soutien commerciaux, , , , , , , , , , , , , , , , ,112000,112000, , 
  ,HA-G1016 (Banque interaméricaine de développement), ,ANATRAF:HAITI-Emergency Especial Allocation Request (HESAR) -(BID/HA-G1016),Ongoing,09/04/2010,,28/04/2010,09/04/2010,,28/04/2010,Haiti, , , ,Banque interaméricaine de développement,38557,38557,Banque interaméricaine de développement,250 - ENTREPRISES ET AUTRES SERVICES,25010 - Services et institutions de soutien commerciaux, , , , , , , , , , , , , , , , ,38557,38557, , 
  ,HA-T1130 (Banque interaméricaine de développement),,Towards a Sustainable Energy Sector Haiti - White Paper - (BID/HA-T1130),Ongoing,26/07/2010,,26/07/2010,26/07/2010,,26/07/2010,Haiti, , , ,Banque interaméricaine de développement,100000,79932,Banque interaméricaine de développement,230 - ENERGIE (PRODUCTION ET DISTRIBUTION), , , , , , , , , , , , , , , , , ,100000,79932, , 
  ,HA-G1017 (Banque interaméricaine de développement), ,Femmes en Démocratie (FED): Haiti Emergency Spending Allocation Request (HESAR) - (BID/HA-G1017),Ongoing,14/04/2010,,28/04/2010,14/04/2010,,28/04/2010,Haiti,Jacmel,Sud-Est,Jacmel Arrondissement,Banque interaméricaine de développement,139086,139086,Banque interaméricaine de développement,150 - GOUVERNEMENT ET SOCIETE CIVILE,"151 - Gouvernement et société civile, général", , , , , , , , , , , , , , , , ,139086,139086, , 
