Project Title,Activity Created By,Activity Created On,Activity Updated By,Activity Updated On,AMP ID,SIAFI Code,Objective,Organizations and Project ID,Project Description,Executing Sector,Status,Actual Approval Date,Current Completion Date,Final Date for Contracting,Original Completion Date,Proposed Completion Date,Proposed Start Date,Mancomunidad,Implementation Level,Region,Zone,Donor Agency,Donor Commitment Date,Donor Group,Donor Type,Financing Instrument,Funding Organization Id,Type Of Assistance,Primary Sector,Primary Sector Sub-Sector,Primary Sector Sub-Sub-Sector,Secondary Sector,Secondary Sector Sub-Sector,Tertiary Sector,Responsible Organization,Executing Agency,Beneficiary Agency,National Planning Objectives,National Planning Objectives Level 1,National Planning Objectives Level 2,National Planning Objectives Level 3,Primary Program,Primary Program Level 1,Primary Program Level 2,Primary Program Level 3,Secondary Program,Secondary Program Level 1,Secondary Program Level 2,Secondary Program Level 3,Secondary Program Level 4,2006 Actual Commitments,2006 Actual Disbursements,2006 Actual Expenditures,2006 Planned Commitments,2006 Planned Disbursements,2006 Planned Expenditures, 2007 Actual Commitments,2007 Actual Disbursements,2007 Actual Expenditures, 2007 Planned Commitments,2007 Planned Disbursements,2007 Planned Expenditures,2008 Actual Commitments,2008 Actual Disbursements,2008 Actual Expenditures,2008 Planned Commitments,2008 Planned Disbursements,2008 Planned Expenditures,2009 Actual Commitments,2009 Actual Disbursements,2009 Actual Expenditures,2009 Planned Commitments,2009 Planned Disbursements,2009 Planned Expenditures,2010 Actual Commitments,2010 Actual Disbursements,2010 Actual Expenditures,2010 Planned Commitments,2010 Planned Disbursements,2010 Planned Expenditures,2011 Actual Commitments,2011 Actual Disbursements,2011 Actual Expenditures,2011 Planned Commitments,2011 Planned Disbursements,2011 Planned Expenditures,2012 Actual Commitments,2012 Actual Disbursements,2012 Actual Expenditures,2012 Planned Commitments,2012 Planned Disbursements,2012 Planned Expenditures,2013 Actual Commitments,2013 Actual Disbursements,2013 Actual Expenditures,2013 Planned Commitments,2013 Planned Disbursements,2013 Planned Expenditures,2014 Actual Commitments,2014 Actual Disbursements,2014 Actual Expenditures,2014 Planned Commitments,2014 Planned Disbursements,2014 Planned Expenditures,Total Costs Actual Commitments,Total Costs Actual Disbursements,Total Costs Actual Expenditures,Total Costs Planned Commitments,Total Costs Planned Disbursements,Total Costs Planned Expenditures
  Misión Técnica Taiwan,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),12/02/2014,TAIW035,, ,S/N (Gobierno de Taiwan),,Autoadministrado por Socio al Desarrollo,Finalizado,,,,,,, ,Country/National, , ,Gobierno de Taiwan,20/03/2012,China,Bilateral,Proyecto, ,Donación / No reembolsable,311 - AGRICULTURA,31163 - Ganadería, ,3 - AGROFORESTAL Y TURISMO,"31 - Agricultura, Agroindustria y Ganadería", ,Gobierno de Taiwan,Gobierno de Taiwan, ,Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental",Meta 3.1: Reducir la tasa de desempleo abierto al 2% y la tasa de subempleo invisible al 5% de la población ocupada, , , , , ,Políticas Públicas y Estrategias Nacionales,F) - Estrategia Nacional de Competitividad,Eje 4: Capital Humano,4.2 Educación Técnica,4.2.1 Porcentaje de estudiantes matriculados en bachilleratos técnicos profesionales (nuevo curricular),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744338.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744338.27,0,0,0,0,0
  Proyectos Embajada de Taiwan,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),30/08/2013,TAIW034,, ,S/N (Gobierno de Taiwan),,Autoadministrado por Socio al Desarrollo,Finalizado,01/01/2011,31/12/2011,,,31/12/2011,01/01/2011, ,Country/National, , ,Gobierno de Taiwan,01/04/2011,China,Bilateral,Proyecto,S/N,Donación / No reembolsable,400 - MULTISECTORIAL, , ,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,14 - Protección Social, ,Gobierno de Taiwan,Gobierno de Taiwan, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,"Reducción de la Pobreza, Generación de Activos e Igualdad de Oportunidades", , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,350000,0,0,0,0
  Traspaso de Gobiernos Locales,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),03/05/2013,ASDC008,,,HN26 (Cooperación Suiza para el Desarrollo y la Cooperación),,Sector Privado,Finalizado,01/01/2009,30/06/2011,,,31/12/2010,01/01/2009, ,Country/National, , ,Cooperación Suiza para el Desarrollo y la Cooperación,19/09/2010,Suiza,Bilateral,Asistencia Técnica,HN26,Donación / No reembolsable,150 - GOBIERNO Y SOCIEDAD CIVIL,"151 - Gobierno y Sociedad Civil, general"," - 15112 - Descentralización y apoyo a los gobiernos regionales y locales
 - 15150 - La participación democrática y la sociedad civil",4 - FORTALECIMIENTO INSTITUCIONAL,44 - Descentralización, ,Cooperación Suiza para el Desarrollo y la Cooperación,Asociación de Municipios de Honduras,Asociación de Municipios de Honduras,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.2: Haber alcanzado una descentralización de la inversión pública del 40% hacia el nivel municipal, ,Plan de Nación,"Competitividad, Imagen País y Sectores Productivos",Calificación de Honduras en el Índice de Competitividad, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476000,465459,0,0,0,0,0,10541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476000,476000,0,0,0,0
  Mejora de la calidad educativa en la población afrodescendiente de Honduras [2010],ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),13/05/2013,OEIA008,, ,S/N (Organización de Estados Iberoamericanos), ,Autoadministrado por Socio al Desarrollo,Finalizado,01/04/2010,31/12/2010,,,,01/04/2010, ,Sub-national," - R01 - Valle de Sula
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R09 - Biosfera Río Plátano
 - R10 - La Mosquitia
 - R15 - Región Arrecife Mesoamericano"," - Ahuas
 - Arizona
 - Balfate
 - Bonito Oriental
 - Brus Laguna
 - Choloma
 - El Porvenir
 - Esparta
 - Guanaja
 - Iriona
 - José Santos Guardiola
 - Juan Francisco Bulnes
 - Jutiapa
 - La Ceiba
 - La Lima
 - La Masica
 - Limón
 - Omoa
 - Pimienta
 - Potrerillos
 - Puerto Cortés
 - Puerto Lempira
 - Roatán
 - Sabá
 - San Antonio de Cortés
 - San Francisco
 - San Francisco de Yojoa
 - San Manuel
 - San Pedro Sula
 - Santa Cruz de Yojoa
 - Santa Fé
 - Santa Rosa de Aguán
 - Sonaguera
 - Tela
 - Tocoa
 - Trujillo
 - Utila
 - Villanueva
 - Villeda Morales
 - Wampusirpi",Organización de Estados Iberoamericanos,01/04/2010,Organismo Internacional,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,"111 - Educación, nivel no especificado",11110 - Política educativa y gestión administrativa,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,PUEBLOS INDÍGENAS,Organización de Estados Iberoamericanos," - Organización de Estados Iberoamericanos
 - Secretaría de Educación",Secretaría de Educación,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social,% Cobertura neta de Educación Básica en sus dos primeros ciclos, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131371.519,131371.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131371.519,131371.519,0,0,0,0
  Mejora de la calidad educativa en la población afrodescendiente de Honduras [2011],ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),13/05/2013,OEIA022,, ,S/N (Organización de Estados Iberoamericanos),,Sector Público,Finalizado,01/01/2011,31/12/2011,,,,01/01/2011, ,Country/National, , ,Organización de Estados Iberoamericanos,01/01/2011,Organismo Internacional,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11220 - Educación primaria,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura,PUEBLOS INDÍGENAS,Organización de Estados Iberoamericanos,Secretaría de Educación,Secretaría de Educación,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.1: Erradicar la pobreza extrema, ,Plan de Nación,Educación y Cultura como medios de emancipación social,% Cobertura neta de Educación Básica en sus dos primeros ciclos, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131578.95,131578.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131578.95,131578.95,0,0,0,0
  Fortalecimiento del Régimen Municipal y el Desarrollo Local en Honduras,ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),21/05/2013,AECD031,,,2742-09 (Agencia Española de Cooperación Internacional para el Desarrollo),,Sector Privado,Finalizado,19/02/2010,25/09/2011,,,25/09/2011,19/02/2010, ,Sub-national," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R03 - Occidente
 - R04 - Valle de Lean
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R12 - Región Centro
 - R14 - Región Lempa
 - R16 - Región de Santa Bárbara"," - Arada
 - Arizona
 - Atima
 - Azacualpa
 - Belén
 - Belén Gualcho
 - Cabañas
 - Cedros
 - Chinda
 - Concepción del Norte
 - Copán Ruinas
 - Corquín
 - Cucuyagua
 - Dolores
 - Dolores Merendón
 - Dulce Nombre
 - El Níspero
 - El Paraíso
 - El Porvenir
 - Esparta
 - Florida
 - Fraternidad
 - Gracias
 - Guaimaca
 - La Iguala
 - La Jigua
 - La Labor
 - La Masica
 - La Unión
 - Las Flores
 - Lepaera
 - Lucerna
 - Macuelizo
 - Marale
 - Mercedes
 - Nueva Arcadia
 - Nueva Frontera
 - Nuevo Celilac
 - Orica
 - Petoa
 - Protección
 - San Agustín
 - San Antonio
 - San Francisco
 - San Ignacio
 - San Jerónimo
 - San José
 - San Juan de Flores (Cantarranas)
 - San Luis
 - San Manuel Colohete
 - San Marcos
 - San Marcos de Caiquin
 - San Nicolás
 - San Pedro de Copán
 - San Rafael
 - San Sebastián
 - San Vicente Centenario
 - Santa Rita
 - Santa Rosa de Copán
 - Sensenti
 - Talanga
 - Talgua
 - Trinidad
 - Trinidad de Copán
 - Vallecillo
 - Veracruz",Agencia Española de Cooperación Internacional para el Desarrollo,27/08/2010,España,Bilateral,Proyecto,2742-09," - Donación / No reembolsable
 - Intereses Devengados",400 - MULTISECTORIAL,430 - Otros multisectorial,43030 - Desarrollo y gestión urbanos,4 - FORTALECIMIENTO INSTITUCIONAL,44 - Descentralización, ,Agencia Española de Cooperación Internacional para el Desarrollo,Asociación de Municipios de Honduras,Asociación de Municipios de Honduras,Visión de País,"Objetivo 4 - Un Estado moderno, transparente, responsable, eficiente y competitivo",Meta 4.2: Haber alcanzado una descentralización de la inversión pública del 40% hacia el nivel municipal, ,Plan de Nación,"Desarrollo Regional, Recursos Naturales y ambiente",Tasa de Descentralización del Gasto Público, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013692.4,1013692.4,1013163,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013692.4,1013692.4,1013692,0,0,0
  Desarrollo Pesquero Golfo Fonseca Fase IV, ,13/07/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),22/05/2013,87171352930,, ,2063-07 (Agencia Española de Cooperación Internacional para el Desarrollo), ,Sector Público,Finalizado,08/04/2008,08/10/2009,,,,08/04/2008, ,Sub-national,R13 - Golfo de Fonseca," - Alianza
 - Amapala
 - Apacilagua
 - Aramecina
 - Caridad
 - Choluteca
 - Concepción de Maria
 - Duyure
 - El Corpus
 - El Triunfo
 - Goascorán
 - Langue
 - Marcovia
 - Morolica
 - Nacaome
 - Namasigue
 - Orocuina
 - Pespire
 - San Antonio de Flores [Choluteca]
 - San Francisco de Coray
 - San Isidro
 - San José
 - San Lorenzo
 - San Marcos de Colon
 - Santa Ana de Yusguare",Agencia Española de Cooperación Internacional para el Desarrollo,08/04/2008,España,Bilateral,Proyecto,2063-07," - Donación / No reembolsable
 - Intereses Devengados",313 - PESCA,31320 - Desarrollo pesquero, ,3 - AGROFORESTAL Y TURISMO,"31 - Agricultura, Agroindustria y Ganadería", ,Agencia Española de Cooperación Internacional para el Desarrollo,Secretaría de Agricultura y Ganadería, ,Visión de País,"Objetivo 3 - Una Honduras productiva, generadora de oportunidades y empleo digno, que aprovecha de manera sostenible sus recursos y reduce la vulnerabilidad ambiental", , ,Plan de Nación,"Desarrollo Regional, Recursos Naturales y ambiente", , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,143752,142839,75107,0,0,0,0,0,0,0,0,0,0,-67732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143752,75107,75107,0,0,0
  Alfabetización y Educación Básica de Jóvenes y Adultos en Honduras ALFAZUCAR-ALFAPALMA [2010],ATL ATL (atl@amp.org),20/03/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),22/05/2013,OEIA004,, ,S/N (Organización de Estados Iberoamericanos), ,Sector Público,Finalizado,01/02/2010,01/01/2011,,,,01/02/2010, ,Sub-national," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R16 - Región de Santa Bárbara"," - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Arada
 - Aramecina
 - Atima
 - Azacualpa
 - Balfate
 - Bonito Oriental
 - Caridad
 - Cedros
 - Ceguaca
 - Chinda
 - Choloma
 - Choluteca
 - Concepción de Maria
 - Concepción del Norte
 - Concepción del Sur
 - Curarén
 - Distrito Central
 - Duyure
 - El Corpus
 - El Níspero
 - El Porvenir
 - El Triunfo
 - Goascorán
 - Guaimaca
 - Gualala
 - Ilama
 - Iriona
 - La Libertad
 - La Lima
 - La Venta
 - Langue
 - Las Vegas
 - Lepaterique
 - Limón
 - Macuelizo
 - Maraita
 - Marale
 - Marcovia
 - Morolica
 - Nacaome
 - Namasigue
 - Naranjito
 - Nueva Armenia
 - Nueva Frontera
 - Nuevo Celilac
 - Ojojona
 - Omoa
 - Orica
 - Orocuina
 - Pespire
 - Petoa
 - Pimienta
 - Potrerillos
 - Protección
 - Puerto Cortés
 - Quimistán
 - Reitoca
 - Sabanagrande
 - Sabá
 - San Antonio de Cortés
 - San Antonio de Flores [Choluteca]
 - San Antonio de Oriente
 - San Buenaventura
 - San Francisco de Coray
 - San Francisco de Ojuera
 - San Francisco de Yojoa
 - San Ignacio
 - San Isidro
 - San José
 - San José de Colinas
 - San Juan de Flores (Cantarranas)
 - San Lorenzo
 - San Luis
 - San Manuel
 - San Marcos
 - San Marcos de Colon
 - San Miguelito
 - San Nicolás
 - San Pedro Sula
 - San Pedro Zacapa
 - San Vicente Centenario
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Bárbara
 - Santa Cruz de Yojoa
 - Santa Fé
 - Santa Lucía
 - Santa Rita
 - Santa Rosa de Aguán
 - Sonaguera
 - Talanga
 - Tatumbla
 - Tocoa
 - Trinidad
 - Trujillo
 - Valle de Angeles
 - Vallecillo
 - Villa de San Francisco
 - Villanueva",Organización de Estados Iberoamericanos,01/02/2010,Organismo Internacional,Multilateral,Proyecto, ,Donación / No reembolsable,110 - EDUCACIÓN,112 - Educación básica,11230 - Capacitación básica de jóvenes y adultos,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,12 - Educación y Cultura, ,Organización de Estados Iberoamericanos," - Organización de Estados Iberoamericanos
 - Secretaría de Educación", ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.3: Elevar la escolaridad promedio a 9 años, ,Plan de Nación,Educación y Cultura como medios de emancipación social,Tasa de Escolaridad Promedio, , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656857.59,656857.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656857.59,656857.59,0,0,0,0
  Transferencia al Buró Global y Otros [2006], ,02/07/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),22/05/2013,87171352220,, ,522-0440-3 [2006] (Agencia de los Estados Unidos para el Desarrollo Internacional),,Autoadministrado por Socio al Desarrollo,Finalizado,01/10/2005,30/09/2007,,,,01/10/2005, ,Country/National, , ,Agencia de los Estados Unidos para el Desarrollo Internacional,01/10/2006,Estados Unidos,Bilateral,In Kind,522-0440-3 [2006],Donación / No reembolsable,120 - SALUD,122 - Salud básica,12240 - Nutrición básica,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,11 - Salud, ,Agencia de los Estados Unidos para el Desarrollo Internacional,Agencia de los Estados Unidos para el Desarrollo Internacional, ,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.4: Alcanzar 95% de cobertura de salud en todos los niveles del sistema, ,Plan de Nación,Salud como fundamento para la mejora de las condiciones de vida, , , , , , , ,6060955,0,0,0,0,0,0,6060955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6060955,6060955,0,0,0,0
  Transferencia al Buró Global y Otros [2008], ,02/07/2012,Vicente Tábora [ADMIN] (cooperacion@sre.gob.hn),22/05/2013,87171352229,, ,522-0440-3 [2008] (Agencia de los Estados Unidos para el Desarrollo Internacional),,Autoadministrado por Socio al Desarrollo,Finalizado,01/10/2007,30/09/2008,,,,01/10/2007, ,Country/National, , ,Agencia de los Estados Unidos para el Desarrollo Internacional,01/10/2007,Estados Unidos,Bilateral,In Kind,522-0440-3 [2008],Donación / No reembolsable,120 - SALUD,122 - Salud básica,12240 - Nutrición básica,1 - PROMOCIÓN Y PROTECCIÓN HUMANA,11 - Salud, ,Agencia de los Estados Unidos para el Desarrollo Internacional,Agencia de los Estados Unidos para el Desarrollo Internacional,Secretaría de Salud,Visión de País,"Objetivo 1 - Una Honduras sin pobreza extrema, educada y sana, con sistemas consolidados de previsión social",Meta 1.4: Alcanzar 95% de cobertura de salud en todos los niveles del sistema, ,Plan de Nación,Salud como fundamento para la mejora de las condiciones de vida, , , , , , , ,0,0,0,0,0,0,8763798,0,0,0,0,0,0,8763798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8763798,8763798,0,0,0,0
