Project Title,Municipality,Donor Agency,OECD/DAC Sector,Implementing Agency,Beneficiary Agency,2008 Actual Commitments,2008 Actual Disbursements,2009 Actual Commitments,2009 Actual Disbursements,2010 Actual Commitments,2010Actual Disbursements,Total Actual Commitments,Total Actual Disbursements
  IPA 2009 - Integrated Approach to Decentralisation," - Decan
 - Dragash
 - Ferizaj
 - Fushe Kosova
 - Gjakova
 - Gjilan
 - Gllogovc
 - Gracanica
 - Hani i Elezit
 - Istog
 - Junik
 - Kacanik
 - Kamenica
 - Klina
 - Leposaviq
 - Lipjan
 - Malisheva
 - Mamusha
 - Mitrovica
 - Novoberda
 - Obiliq
 - Partesh
 - Peja
 - Podujeva
 - Pristina
 - Prizren
 - Rahovec
 - Shterpce
 - Shtime
 - Skenderaj
 - Suhareka
 - Vitia
 - Vushtrria
 - Zubin Potok
 - Zvecan",European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,Ministry of Local Government and Administration,0,0,7494499.999,0,0,0,7494499.999,0
  IPA 2009 - Education and Employment - IT Training, ,European Union Office,110 - EDUCATION, ,"Ministry of Education, Science and Technology",0,0,0,0,2440600,0,2440600,0
  Overseas Prosecutorial Development Assistance and Training, ,US Department of Justice,150 - GOVERNMENT AND CIVIL SOCIETY,US Department of Justice,US Department of Justice,2000000,0,2000000,0,2500000,0,6500000,0
  ICITAP: Community Policing/Community Safety Action Teams," - Gjakova
 - Gllogovc
 - Istog
 - Junik
 - Klina
 - Leposaviq
 - Pristina
 - Shtime
 - Vitia
 - Vushtrria",US Department of Justice,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,350000,0,350000,0,350000,0,1050000,0
  ICITAP - Law Enforcment Information Management (IT), ,US Department of Justice,150 - GOVERNMENT AND CIVIL SOCIETY,US Department of Justice,N/A Beneficiary Organization,0,0,0,0,5848000,0,5848000,0
  Demand for Justice, ,United States Department of State,150 - GOVERNMENT AND CIVIL SOCIETY,United States Department of State,N/A Beneficiary Organization,0,0,0,0,1300000,0,1300000,0
  DEMOCRACY COMMISSION SMALL GRANTS PROGRAM, , ,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Civilian Police International, ,United States Department of State,150 - GOVERNMENT AND CIVIL SOCIETY,United States Department of State,N/A Beneficiary Organization,22525000,0,22525000,0,20000000,0,65050000,0
  Preventing Financial Crimes & Money Laundering, ,United States Department of State,150 - GOVERNMENT AND CIVIL SOCIETY,US Department of the Treasury,N/A Beneficiary Organization,0,0,600000,0,500000,0,1100000,0
  Strengthening Debt and Fiscal Policy Management, ,United States Department of State,150 - GOVERNMENT AND CIVIL SOCIETY,US Department of the Treasury,N/A Beneficiary Organization,0,0,600000,0,600000,0,1200000,0
  Youth Entrepreneurship and Business Development, ,Italian Cooperation,400 - MULTISECTOR/CROSS-CUTTING,World Bank,Ministry of Culture Youth and Sports,0,0,990342.44,0,0,656900,990342.44,656900
  IPA 2009 - Support to Culture Youth and Sport, ,European Union Office,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES, ,N/A Beneficiary Organization,0,0,19761000,0,0,0,19761000,0
  IPA 2009 - EU Support for Regional Economic Development, ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2009 - Support Measures and Technincal Assistance Facility I (GTAF), ,European Union Office,400 - MULTISECTOR/CROSS-CUTTING, ,N/A Beneficiary Organization,0,0,4410937.5,0,0,0,4410937.5,0
  IPA 2009 - Support Measures and Technincal Assistance Facility II, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,10162800,0,0,0,10162800,0
  ICITAP - Non-Pass Through Evidence Storage Lockers," - Ferizaj
 - Gjilan
 - Mitrovica
 - Peja
 - Pristina
 - Prizren",US Department of Justice,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support the Kosovo Healthcare System," - Peja
 - Pristina",Italian Cooperation,120 - HEALTH,Italian Ministry of Foreign Affairs,Ministry of Health,0,0,0,0,4198702.229,0,4198702.23,0
  Higher Education, ,Embassy of Turkey,110 - EDUCATION,Embassy of Turkey,N/A Beneficiary Organization,0,0,0,0,1691830.042,1691830.042,1691830.042,1691830.042
  Technical Assitance for the Implementation of commitments taken during Bruxelles Donor's Conference, ,Italian Cooperation,400 - MULTISECTOR/CROSS-CUTTING,Italian Ministry of Foreign Affairs," - Ministry for Agriculture, Forestry and Rural Development
 - Ministry of Culture Youth and Sports
 - Ministry of Health",118720,0,0,0,0,49824,118720,49824
  Development of Agricultural Capacity in Kosovo, ,Turkish International Cooperation and Development Agency," - 311 - AGRICULTURE
 - 312 - FORESTRY",Turkish International Cooperation and Development Agency," - Kosovo Forestry Agency
 - Kosovo Institute of Agriculture
 - Ministry for Agriculture, Forestry and Rural Development
 - Municipality of Gjilan
 - Municipality of Mamusha",0,0,0,0,511920,0,511920,0
  KEK Clean-up and land reclamation, ,Embassy of Netherlands,400 - MULTISECTOR/CROSS-CUTTING,World Bank,World Bank,0,649080,0,1092560,0,1432600,0,3174240
  Capacity Building in Health Sector-2, ,Embassy of Turkey,120 - HEALTH, ,N/A Beneficiary Organization,98315.077,98315.077,0,0,0,0,98315.077,98315.077
  IPA 2010 - Communities and Education, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  IPA 2010 - Public Finance, ,European Union Office,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Electricity transformer sub-station for Mogila,Kllokot,Embassy of the Czech Republic,230 - ENERGY GENERATION AND SUPPLY, ,Municipality of Kllokot,0,0,0,0,20615.342,19902.389,20615.342,19902.389
  Inclusion of children with disabilities in Primary School in Kosovo, ,Italian Cooperation," - 110 - EDUCATION
 - 160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES",Save the Children,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  Support to Public Finance Management 2012, ,Department for International Development,150 - GOVERNMENT AND CIVIL SOCIETY, ,N/A Beneficiary Organization,0,0,0,0,0,0,0,0
  European Union Rule of Law Mission EULEX Kosovo, ,Estonia,150 - GOVERNMENT AND CIVIL SOCIETY,European Union Office,N/A Beneficiary Organization,0,79332,0,172078.2,0,164749,0,416159.2
  Supporting Kosovo reforms and programs in the social sectors, ,Estonia,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,World Bank,Government of Kosovo,0,0,0,262214.399,0,0,0,262214.399
