AGENCE,PROJET,DESCRIPTION,OBJECTIFS GENERAUX,RESULTATS,STATUT,ASPECT GENRE,NIVEAU D'INTERVENTION,REGION,SECTEUR BUDGET,SECTEUR OCDE,MAFSAN,PRIORITE NATIONALE,MINISTERE DE TUTELLE,AGENCE D'EXECUTION,INSCRIPTION LOI DES FINANCES,2009 Engagements Effectifs,2009 Decaissements Effectifs,2009 Decaissements Prevus,2010 Engagements Effectifs,2010 Decaissements Effectifs,2010 Decaissements Prevus,2011 Engagements Effectifs,2011 Decaissements Effectifs,2011 Decaissements Prevus,2012 Engagements Effectifs,2012 Decaissements Effectifs,2012 Decaissements Prevus,2013 Engagements Effectifs,2013 Decaissements Effectifs,2013 Decaissements Prevus,2014 Engagements Effectifs,2014 Decaissements Effectifs,2014 Decaissements Prevus,2015 Decaissements Prevus,2016 Decaissements Prevus,2017 Decaissements Prevus,2018 Decaissements Prevus,2019 Decaissements Prevus,Total Disbursements,Total Commitments,Planned Disbursements
ADRA Madagascar ,SALOHI,"The Strengthening and Accessing Livelihoods Opportunities for Household Impact (SALOHI) Program will be implemented by a consortium of highly experienced international NGOs in Madagascar, including the Adventist Development and Relief Agency (ADRA), Cooperative for Assistance and Relief Everywhere, Inc. (CARE), Catholic Relief Services - United States Conference of Catholic Bishops (CRS) and Land O&#39;Lakes International Development Division. CRS will lead the consortium, and serve as the primary grant recipient.  The goal of the SALOHI program is to reduce food insecurity and vulnerability in 21 districts in eastern and southern Madagascar by 2014.   Description du cote d&#39;ADRA:   OS1 s&#39;agit surtout de l&#39;amelioration de la nutrition des enfants, meres et peres.  OS2 s&#39;agit surtout de l&#39;augmentation et de la diversification de la production agricole.  OS3 s&#39;agit de la construction des infrastructures et la formation en preparation pour des desastres.",to reduce food insecurity and vulnerability in 21 districts in eastern and southern Madagascar by 2014. Strategic Objectives (SO) include:,"Ameliorationn de la sante maternelle et infantile,   Amelioration de la production et developpement des activites orientees vers le marche,   Renforcement de la resilience communautaire.   Resultats du cote d&#39;ADRA:   IR (intermediate result) 1.1 : 30 000 menages cibles demontrent des capacites elargies dans la prevention de la malnutrition chez les enfants de moins de cinq ans.  IR 1.2 : 30 000 menages font preuve de connaissances accrues en prevention et en traitement et de capacite pour ameliorer leur sante et utiliser leurs aliments.  IR 2.1 : 28 000 paysans producteurs augmentent leur production vivriere.  IR 2.2 : 8 400 petits producteurs et pasteurs augmentent leurs revenus provenant de la production agricole.  IR 3.1 : Les autorites participantes dans 250 communautes attenuent les chocs et sont preparees a y faire face.  IR 3.2 : 250 communautes attenuent les risques menaçant leurs terres, eau et routes d'une façon proactive.  IR 3.4 : La capacite communautaire a influencer les decisions communales affectant la securite alimentaire augmente dans 43 Communes cibles.",En Cours,Assez significatif,Regional," - AMORON'I MANIA
 - ANALANJIROFO
 - ANDROY
 - ANOSY
 - ATSIMO-ATSINANANA
 - ATSINANANA
 - VATOVAVY-FITOVINANY"," - PRODUCTIF
 - SOCIAL",DESTINATION PLURI-SECTORIELLE OU TRANSVERSALE,"FOOD, SECURITY & NUTRITION"," - Developpement rural
 - Sante"," - Ministere de l'Agriculture et du Developpement Rural
 - Ministere de la Sante Publique", ,Hors Budget,20509828,993108,2060414,0,4138098,4440489,0,6914653,4471656,0,2354080,4075130,0,4103851,0,0,0,3603828,0,0,0,0,0,18503790,20509828,18651517
ADRA Madagascar ,Projet Orphanage,1. Educate orphans and disadvantaged students  2. Lodge them in the Center  3. Educate and instruct them in their daily life  4. Accustom them to completing daily chores,To help the children in Claire's Orphanage to develop,"Orphans and disadvantaged children are able to stay in school, as their living arrangements are completely cared for.",En Cours,Non Genre,Regional,ANALAMANGA,SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,0,0,0,0,0,0,20463.013,680.425,823.53,0,547.368,3181.578,0,0,0,0,0,0,0,0,0,0,0,1227.793,20463.013,4005.108
ADRA Madagascar ,One Child & MEALS,"Des eleves pauvres n&#39;arrivent pas a payer ni leurs fournitures ni leurs frais de scolarite, ce qui entraÓne parfois l&#39;abandon scolaire. L&#39;objectif est d&#39;eliminer ce facteur comme blocage a la frequentation scolaire.",Diminuer le taux d'abandon scolaire chez les eleves,Une diminution du taux d&#39;abandon scolaire.,En Cours,Non Genre,Regional,ANALAMANGA,SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,0,0,0,41046,17594,4829,0,5850,28974,0,3984,7243,0,0,0,0,0,0,0,0,0,0,0,27428,41046,41046
ADRA Madagascar ,Students Aid,"Des eleves pauvres n&#39;arrivent pas a payer ni leurs fournitures ni leurs frais de scolarite, ce qui entraÓne parfois l&#39;abandon scolaire. L&#39;objectif est d&#39;eliminer ce facteur comme blocage a la frequentation scolaire.",Diminuer le taux d'abandon scolaire chez les eleves,Une diminution du taux d&#39;abandon scolaire.,En Cours,Non Genre,Regional," - ANALAMANGA
 - ATSINANANA",SOCIAL,EDUCATION,OTHER,Education, , ,Hors Budget,0,14119.117,12329.411,0,5780,9973.333,0,9775.837,11272.668,0,1936.842,11031.578,0,0,0,0,0,6009.876,0,0,0,0,0,31611.796,0,50616.866
ADRA Madagascar ,Ampanihy-Madagascar Agricultural Launching Project,La secheresse de ces dernieres annees a beaucoup augmentee l&#39;insecurite alimentaire a Ampanihy. La reintroduction des cultures anterieurement connues a Ampanihy est une strategie pour stabiliser la situation alimentaire.  1. La distribution des semences de la culture maraÓchere  2. L&#39;introduction d&#39;une methode de cultivation adaptee a la secheresse  3. La diversification de la regime alimentaire pour augmenter la resilience aux aleas climatiques futurs,Relancer l'agriculture dans le District d'Ampanihy.,"L&#39;adoption d&#39;une regime alimentaire plus diversifiee, une production stabilisee malgre le climat, un changement de valorisation de divers aliments pour une meilleure resilience aux chocs climatiques",Cloture,Non Genre,Regional,ATSIMO-ANDREFANA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,0,0,0,76111.118,34006.267,48037.194,0,18253.438,25882.765,0,30859.064,0,0,0,0,0,0,0,0,0,83118.769,76111.118,73919.959
ADRA Madagascar ,Water in Schools,,,,En Cours,Non Genre,National, ,INFRASTRUCTURE,DISTRIBUTION D'EAU ET ASSAINISSEMENT,OTHER,Infrastructures, , ,Hors Budget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912,0,0,0,0,0,0,0,2912
APDRA,Projet dÍappui aux dynamiques piscicoles dans le Vakinankaratra,,Renforcer la securite alimentaire et la diversification economique des paysans des hautes terres en elaborant un modele de production extensif et durable d'alevins de carpe commune : * Favoriser la production d'alevins en developpant les modeles techniques extensifs adaptes ; * Augmenter les volumes de poissons produits pour renforcer la securite alimentaire des populations rurales ; * Regrouper les acteurs de la filiere et appuyer la commercialisation collective.,* De nouveaux systemes d'elevage piscicole sont experimentes et le modele de pisciculture extensive est diffuse ;  * Les rizipisciculteurs disposent d'un meilleur acces aux alevins et les techniques de grossissement sont mieux maÓtrisees ;  * La filiere rizipiscicole,En Cours,Non Genre,Regional,VAKINANKARATRA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,330000,22666.666,22666.666,0,76480.426,88771.923,0,53318.421,0,0,74554.794,79541.095,0,0,0,0,0,0,0,0,227020.307,330000,190979.684
APDRA,Appui au developpement de la pisciculture paysanne dans la Region Atsinanana,"-appui a l'installation de la pisciculture.   -appui a la production d'alevins.  - renforcement des capacites dans le domaine de la pisciculture des organismes de formation de la region, de 200 producteurs et des techniciens de la Direction des Pêches.  - gestion durable des ressources halieutiques et conservation de la biodiversite en partenariat avec l'ONG MFG afin d'ameliorer la gestion des ressources endemiques.",Renforcer la securite alimentaire de la Region Atsinanana en appuyant le developpement des productions halieutiques continentales.,"-appui a l'installation de la pisciculture.   -appui a la production d'alevins.  - renforcement des capacites dans le domaine de la pisciculture des organismes de formation de la region, de 200 producteurs et des techniciens de la Direction des Pêches.  - gestion durable des ressources halieutiques et conservation de la biodiversite en partenariat avec l'ONG MFG afin d'ameliorer la gestion des ressources endemiques.",En Cours,Non Genre,Regional,ATSINANANA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,0,85333.333,85333.333,0,95600.533,110623.474,0,172205.263,0,0,0,0,0,0,0,0,0,0,0,0,353139.129,0,195956.807
APDRA,Programme dÍappui aux dynamiques piscicoles de Haute Matsiatra,,Renforcer la securite alimentaire et lutter contre la pauvrete dans les zones rurales de Haute Matsiatra en augmentant durablement leur production piscicole.,* Les organisations paysannes disposent d'un meilleur acces aux alevins ;  * Les techniques de grossissement sont mieux maÓtrisees ;  * Les organisations paysannes se structurent autour de la pisciculture.,En Cours,Non Genre,Regional,HAUTE MATSIATRA,PRODUCTIF,AGRICULTURE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,0,5333.333,5333.333,0,58726.041,68286.095,0,31915.789,0,0,33336.986,35567.123,0,0,0,0,0,0,0,0,129312.149,0,109186.551
APDRA,Appui au developpement de la pisciculture paysanne dans region ITASY,Projet d&#39;appui aux dynamiques paysannes dans le domaine de la pisciculture artisanale.,Consolider la securite alimentaire et lutter efficacement contre la pauvrete des menages ruraux.,- Au moins 150 riziculteurs issus de 8 communes beneficient de formations et d&#39;appui/conseil dans le domaine de la rizipisciculture  - au moins 20 producteurs d&#39;alevins beneficiant d&#39;u appui/conseil.,En Cours,Non Genre,Regional,ITASY,PRODUCTIF,PECHE,"FOOD, SECURITY & NUTRITION",Developpement rural, , ,Hors Budget,0,0,0,32857.142,26666.666,26666.666,0,99697.698,114720.639,0,99401.315,0,0,0,0,0,0,0,0,0,0,0,0,225765.679,32857.142,141387.305
