Donor Agency,Project Title,Aid Modality,Type Of Assistance,Primary Sector,Implementing Agency,Date of Agreement Signed,Date of Agreement Effective,Date of Planned Completion,Type of PIU,Status,AMP ID,Cumulative Commitment,Cumulative Disbursement,2007 Q1 Actual Disbursements,2007 Q2 Actual Disbursements,2007 Q3 Actual Disbursements,2007 Q4 Actual Disbursements,2008 Q1 Actual Disbursements,2008 Q2 Actual Disbursements,2008 Q3 Actual Disbursements,2008 Q4 Actual Disbursements,2009 Q1 Actual Disbursements,2009 Q2 Actual Disbursements,2009 Q3 Actual Disbursements,2009 Q4 Actual Disbursements,2010 Q1 Actual Disbursements,2010 Q2 Actual Disbursements,2010 Q3 Actual Disbursements,2010 Q4 Actual Disbursements,2011 Q1 Actual Disbursements,2011 Q2 Actual Disbursements,2011 Q3 Actual Disbursements,2011 Q4 Actual Disbursements,Total Actual Disbursements
African Development Bank,Agriculture Infrastructure Support Project,Agriculture SWAp- Discrete,Grant,AGRICULTURE,Ministry of Agriculture and Food Security,13/11/2009,20/09/2010,30/06/2015,None,Ongoing,8722612510407,23277467.41,5017520.125, , , , , , , , , , , , , ,1994735.155, , ,11023.238, ,101277.287,780695.284,2887730.966
African Development Bank,Governance and Poverty Reduction Support Grant II & III,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,,01/07/2009,30/06/2011,None,Closed,8722614410710,41205015.83,17173061.98, , , , , , , , , , , ,12012878.7, ,5160183.288, , , , , , ,17173061.98
African Development Bank,Smallholder crop production and marketing project,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,08/08/2006,27/03/2007,30/12/2013,Parallel,Closed,872261299881,55773763.88,26689002,526230.803, , ,768405.108,1695690.162,678909.56,2176088.921,15045.573,106472.687,2626624.857,1117482.57,2384619.821,712740.266,1919032.585,795205.39,672467.959,2169667.751,2219845.651,2036961.004,650905.896,23272396.57
African Development Bank,National Water Development Program (Trust),Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,19/11/2008,11/06/2009,31/12/2013,Parallel,Closed,8722612610771,4481792.717,4198720.997, , , , , , , , , , , , ,365995.122, , , ,1651479.6, , ,373686.517,2391161.24
African Development Bank,National Water Development Program (Loan),Direct Project Support,Loan,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,19/11/2008,11/06/2009,31/12/2013,Embedded,Closed,8722612610769,22545238.8,18939075.79, , , , , , , , ,1260055.865, , , ,2089068.523,265051.563,105177.857,90332.153,2194978.989,52468.56,2475271.713,520777.906,9053183.134
African Development Bank,National Water Development Program (Grant),Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,19/11/2008,11/06/2009,31/12/2013,Parallel,Closed,8722612610770,15912192.23,14784855.66, , , , , , , , ,66675.977, , , ,1038292.677, , , , ,1416469.331,3159990.71,846568.289,6527996.986
African Development Bank,Support to the health sector programme,Health SWAp - Discrete,Grant,HEALTH,Ministry of Health,23/01/2006,23/01/2006,30/06/2010,None,Ongoing,872261299890,22235530.6,21040766.04, ,138255.219,394611.727,1094753.938,1331258.464,1464787.298,2761002.402,741069.691,1666243.016,453593.316,1058839.342,243824.032,509448.073,1772418.441,572161.467,1965216.074,317784.021,984046.558,299832.791,656054.427,18425200.31
African Development Bank,Support to Local Economic Development (supplementary),Direct Project Support,Loan,INTEGRATED RURAL DEVELOPMENT,Ministry of Finance,13/05/2011,07/10/2011,31/12/2014,None,Ongoing,8722617610959,4995544.88,3580954.586, , , , , , , , , , , , , , , , , ,806201.212, , ,806201.212
African Development Bank,Multi-Nacala Corridor Project,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,21/10/2010,21/07/2010,31/12/2013,None,Ongoing,8722612510405,22419089.56,6943227.741, , , , , , , , , , , , , , , ,68144.477,66170.995, , , ,134315.472
African Development Bank,Trunk Road Rehabilitation Blantyre-Zomba,Direct Project Support,Loan,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,21/10/2010,13/09/2011,31/12/2014,None,Ongoing,8722612510406,37763845.72,20003429.24, , , , , , , , , , , , , , , , , ,336062.137,5467222.274,28337.363,5831621.775
African Development Bank,Support to Local Economic Development,Direct Project Support,Loan,INTEGRATED RURAL DEVELOPMENT,Ministry of Local Government and Rural Development,19/11/2008,20/10/2009,31/12/2014,Parallel,Ongoing,872261169981,22805017.1,7147591.565, , , , , , , , , , , ,437352.842, ,585597.115, ,23432.612, ,1461205.796,89752.558,7610.338,2604951.264
African Development Bank,EDUCATION V (Support to Sec Education),Education SWAp - Discrete,Grant,EDUCATION,"Ministry of Education, Science and Technology",18/07/2006,18/07/2006,31/12/2012,Parallel,Closed,8722616310213,22026464.06,21408504.34, , , , , , , , ,975377.094,3428135.04,1426476.687,2132411.229,1783481.009,1677180.418,1345356.1,2218448.491,1179806.193,1469833.629,1217817.989,373526.997,19227850.88
African Development Bank,Ntcheu-Tsangano-Mwanza Feasibility Study (Grant),Direct Project Support,Grant,"ROADS, PUBLIC WORKS AND TRANSPORT",Roads Authority,21/10/2010,24/05/2012,31/12/2013,None,Ongoing,8722612610581,1759710.66,57761.58, , , , , , , , , , , , , , , ,57761.58, , , , ,57761.58
African Development Bank,Climate Adaptation for Rural Livelihold and Agriculture,Direct Project Support,Grant,AGRICULTURE, ,18/01/2012,,30/06/2015,None,Ongoing,8722617610985,3000000,932516.626, , , , , , , , , , , , , , , , , , , ,932516.626,932516.626
African Development Bank,"Songwe River Basin Programme (NEPAD ippf, AWF-Local, AWF -Foreign)",Direct Project Support," - Grant
 - Loan",AGRICULTURE,Ministry of Agriculture and Food Security,,,31/05/2014,None,Ongoing,8722617610986,6329225.252,281440.447, , , , , , , , , , , , , , , , , , , ,281440.447,281440.447
African Development Bank,Strengthening Water Sector M & E,Direct Project Support,Grant,"WATER, SANITATION AND IRRIGATION", ,,10/03/2011,10/03/2013,None,Ongoing,8722617610987,2992271.348,983358.036, , , , , , , , , , , , , , , , , , , ,983358.036,983358.036
African Development Bank,Education IV,Education SWAp - Discrete," - Grant
 - Loan",EDUCATION,"Ministry of Education, Science and Technology",05/08/2002,05/06/2003,30/09/2009,Parallel,Closed,872261299752,20177861.12,22426368.34,1642200.337,862039.637,882765.091,302646.82,612669.038,40562.139,374911.617,679313.96,561269.397,772590.554,456838.704,992445.306,255950.494,230712.065, , , , , , ,8666915.167
African Development Bank,Lake Malawi Artisanal Fisheries Development Project,Direct Project Support," - Grant
 - Loan",AGRICULTURE,Ministry of Agriculture and Food Security,05/05/2003,25/09/2003,31/12/2009,Embedded,Closed,872261299813,11412892.6,12006536.81,198030.879,95480.174,612459.628,738499.138,124213.828,263126.406,474308.348,268966.336,1650176.908,1440896.13,62296.117,927711.689, ,6370.34,476973.825,440829.188,10885.295, , , ,7791224.235
African Development Bank,Poverty Reduction Support Grant I,Budget Support,Grant,ECONOMIC GOVERNANCE,Ministry of Finance,03/04/2009,03/04/2009,31/12/2009,None,Closed,8722612510452,14869888.48,15195259.08, , , , , , , ,15195259.08, , , , , , , , , , , , ,15195259.08
African Development Bank,Poverty Reduction Support Loan II,Budget Support,Loan,ECONOMIC GOVERNANCE,Ministry of Finance,14/11/2008,14/11/2008,30/06/2009,None,Closed,8722613110338,22085434.59,22622303.25, , , , , ,22622303.25, , , , , , , , , , , , , , ,22622303.25
African Development Bank,Rural health care project III,Direct Project Support,Loan,HEALTH,Ministry of Health,06/03/2001,02/10/2001,31/12/2005,None,Closed,872261299875,13190889.32,9048007.799, ,128273.816,106205.696, , , , , , , , , , , , , , , , , ,234479.512
African Development Bank,Small outgrower sugarcane production,Direct Project Support,Loan,AGRICULTURE,Ministry of Agriculture and Food Security,10/02/2000,08/11/2000,31/12/2006,None,Closed,872261299872,11768581.97,13572391.46,1366594.54,1005793.919,609596.866,813851.933,1138838.024,1686060.038,1157258.837,763784.721, , , , , , , , , , , , ,8541778.883
African Development Bank,Smallholder irrigation project,Direct Project Support,Loan,"WATER, SANITATION AND IRRIGATION",Ministry of Irrigation and Water Development,02/11/1998,01/02/2000,30/06/2005,None,Closed,872261299864,6254103.476,7753660.477,50260.93,1097656.125,454067.989,1432552.995,1368107.107,234366.002,289666.704,41762.706, , , , , , , , , , , , ,4968440.561
