Donor,Project Title,Objective,Project Description,Actual Start Date,Actual Completion Date,Financing Instrument,OECD/DAC Sectors,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,2015 Actual Commitments,Total Actual Commitments
Austria,Vocational Education Centre for the construction sector in the Republic of Moldova,The project aims to establish a vocational education center for the Moldovan construction sector and to support the development of a dual vocational education system in the Republic of Moldova.,The scope of the project is the establishment of a vocational education center for the construction sector in the Republic of Moldova. The project is a Public Private Partnership.,15/10/2013,30/09/2016,Grant,110 - EDUCATION,0,0,0,0,0,497650,0,0,497650
Austria,A Step forward - Organizing for Labour Rights,Empowering trade unions in defending and promoting the workers' rights.,"Project „A Step forward - Organizing for Labour Rights"" is a continuation of the project ""Trade Union School of Moldova- Democracy needs democrats"", which will be deployed in two stages, corresponding to 2 calendar years of activities: Year I (period from September to June) - theoretical trainings within evening meetings, 2 times per week (based on the Austrian model), in accordance with the curriculum agreed by the parties. In the second quarter, mixed teams of students, mentors and staff representatives will make visits to primary trade union organizations, which have delegated the trainees, in order to become familiar with their situation and discuss with the trade union activists about the existing problems. As a result, trade union issues will be identified and selected within trade union organizations in order to be addressed and resolved through individual or group projects, which, typically, will be presented by the students at the evaluation of the first training year. However, all the projects will be submitted for evaluation to a special committee of experts who will select the best and effective projects and will propose their implementation in the second year. Year II (the period from September to August of the year II) - practical implementation of individual or group projects selected by the special committee of experts and provision of necessary financial and logistical support (based on an estimated budget) in order to implement the projects within the economic unit (the primary trade union organization). In order to have an effective organization of the mentioned activity, we suggest having quarterly meetings expressed in trainings for the participants, mentors and trainers responsible for certain projects, where will be presented/discussed the progress of problems faced by students in the process of project implementation. Simultaneously, at the request of students, will be held separate meetings, which will take the form of consultations given by persons nominated by the participant. Activities in this stage will allow keeping in sight the post-project activities of TUSM participants, will ensure the practical application of theoretical knowledge acquired in the first year of training and will enhance the learner's ability to act. Year II will conclude with an assessment activity, where students, assisted by activists of primary trade union organization (if desired) will present/inform/show the stages of individual or group project achievements, and the final results concerning primary trade union organization, where the project was implemented. Therefore, students participating in the training will have concrete actions (projects) that will have a practical and measurable effect on trade union members, which will result in development of functional, social and professional skills of trade union staff and strengthening primary trade union organizations.",01/08/2014,31/07/2016,Grant,160 - OTHER SOCIAL INFRASTRUCTURE AND SERVICES,0,0,0,0,0,0,94800,0,94800
Austria,„Capacity development of VET providers in the Water and Sanitation Sector in Moldova” (AquaProf II),"The proposed intervention will significantly contribute to the improvement of the situation in Water Sanitation Sector (WSS) with focus on human capital development. The initiative builds on the experience gained and results of the previous project AquaProf I, with increased focus on dissemination of good practices developed, at other 4 vocational schools and 1 adult training centre. Therefore the overall objective is to contribute to the VET reform in Moldova by securing better and more diversified VET services in WSS.","Moldova is confronted with a severe shortage of skilled labour force and a significant discrepancy between the skills available and the actual requirements of the labour market in all WSS related occupations, therefore, by the end of the project, the quality of education and training for WSS will be improved. In order to have a national roll-out of the new curricula in the water sector, IFCP has designed a new initiative that foresees comprehensive support to VET schools in vocational curriculum implementation and dissemination of best practices to the partner schools as well as to 1adult training centre. The intention of this project is to empower vocational schools in delivering better training services for WSS and to enable an adult training centre to become a hub for all needs related to upgrading of skills and (re)training manpower in several priority WSS relevant specialisations. This intervention is unique precisely because it involves two sectors of the highest priority for the ADC in Moldova - watsan and VET - and, thus, brings added value to each contribution by amplifying the positive impact on beneficiaries and ensuring the sustainability of the investments made.",01/09/2013,31/08/2016,Grant,110 - EDUCATION,0,0,0,0,0,645600,0,0,645600
Austria,ADVANCING QUALITY IN INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT) VOCATIONAL EDUCATION IN MOLDOVA,"The overall objective of the project is to contribute to the harmonization of ICT education in Moldova with labor market demands. The project purpose is to support the qualitative improvement of content and process of ICT professional education in 6 institutions (colleges and vocational schools), thus fostering the improvement of quality of knowledge and practical skills of the young ICT specialists.","The project will contribute to the harmonization of ICT education with the labor market demands in order to increase the relevance of education for future professional employment. It will help to improve the quality of the content and process of education in ICT in 6 pilot institutions (colleges and vocational schools), thus influencing the quality of knowledge and practical skills of young professionals in ICT. This, in turn, will provide new opportunities for professional development of beneficiaries and will help increase employment rates and poverty reduction. This project will focus on improving the curriculum for ICT specializations through its connection to labor market requirements, upgrading laboratories modern technical equipment, defining and implement sustainable models of collaboration with the private sector to achieve practical training students.",01/12/2012,31/05/2015,Grant,110 - EDUCATION,0,0,0,0,505750,0,0,0,505750
Austria,Re-Engineering Vocational Orientation and Career Counselling for Moldovan labour force competitiveness (REVOCC),To contribute to aligning the education system to labour market needs in order to enhance labour productivity and increase employment in the economy,"Based on the employment structure existing in the Republic of Moldova and on the international experience, the project will develop new contents for the vocational orientation and career counselling of pupils from secondary education and will test new module of the Civic Education curriculum in 12 pilot educational institutions from the country. Teachers of Civic Education and class masters will be trained in delivering the new module. In cooperation with ANOFM, 3 Regional VOCC centres will be created , new services will be developed and ANOFM personnel will be trained in the delivery of the new services/",01/12/2014,30/11/2017,Grant,110 - EDUCATION,0,0,0,0,0,0,627000,0,627000
Austria,National Cleaner Production Programme (NCPP) - Republic of Moldova,Improve the resource productivity and environmental performance of businesses in Moldova,The aim of the NCPP is to promote Recource Efficient and Cleaner Production (RECP) in Moldova by improving policy framework and increasing resource productivity and environmental performance of enterprises.,12/09/2011,30/09/2015,Grant," - 321 - INDUSTRY
 - 323 - CONSTRUCTION",0,0,0,500000,0,0,0,0,500000
Belgium,THE NATO/PfP TRUST FUND PROJECT FOR THE DESTRUCTION OF THE PESTICIDES AND DANGEROUS CHEMICALS IN THE REPUBLIC OF MOLDOVA,The overall objective is to strengthen the security environment and public health in Moldova through safe management of ecologically and destruction of stockpiles of obsolete pesticides in agriculture.,"Difficult management of pesticides in the Soviet period left us a heritage of prints that will be felt over several years, practical in all sectors of development. Food safety, demographic security, environmental and economic security, securing fundamental human rights to live in a clean environment without waste pesticides - have become in the last years a national concern, that is met practically in all relevant plans, programs and national strategies. Performance strengthening the state security associated with the dissipation of pesticide wastes in the environment can be recorded only if the priority will be the elimination of all outbreaks and threats related to such wastes.",15/10/2013,15/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,17000,0,0,0,0,0,17000
Bulgaria,THE NATO/PfP TRUST FUND PROJECT FOR THE DESTRUCTION OF THE PESTICIDES AND DANGEROUS CHEMICALS IN THE REPUBLIC OF MOLDOVA,The overall objective is to strengthen the security environment and public health in Moldova through safe management of ecologically and destruction of stockpiles of obsolete pesticides in agriculture.,"Difficult management of pesticides in the Soviet period left us a heritage of prints that will be felt over several years, practical in all sectors of development. Food safety, demographic security, environmental and economic security, securing fundamental human rights to live in a clean environment without waste pesticides - have become in the last years a national concern, that is met practically in all relevant plans, programs and national strategies. Performance strengthening the state security associated with the dissipation of pesticide wastes in the environment can be recorded only if the priority will be the elimination of all outbreaks and threats related to such wastes.",15/10/2013,15/10/2015,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,15000,0,0,15000
China,Agreement between the Government of the People's Republic of China and the Government of the Republic of Moldova on economical and technical cooperation, , ,10/07/2013,10/07/2018,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,0,8000000,0,0,8000000
China,A gratis Republic of China’s provision of military aid to the Republic of Moldova,A gratis Republic of China's provision of military aid to the Republic of Moldova.,"The Ministry of Defense of the the Republic of Moldova and the Ministry of National Defense of the Republic of China, in order to further develop relations of friendship and cooperation between the people and armed forces of the two sides agreed for a gratis military aid to the Republic of Moldova. This technical lot will be used to reduce the insurance needs of the National Army. This aid will influence beneficial to strengthen the operational capabilities of the Republic of Moldova National Army.",13/09/2012,13/09/2017,Grant,150 - GOVERNMENT AND CIVIL SOCIETY,0,0,0,0,967211.529,0,0,0,967211.529
