Donor Agency,AMP ID,Project Title,Actual Start Date,Primary Sector,2004 Actual Commitments,2005 Actual Commitments,2006 Actual Commitments,2007 Actual Commitments,2008 Actual Commitments,2009 Actual Commitments,2010 Actual Commitments,2011 Actual Commitments,2012 Actual Commitments,2013 Actual Commitments,2014 Actual Commitments,Total Actual Commitments
Asian Development Bank,872381652764,TA-Demonstration of sustainable Forest Management with Community Participation in Nepal,01/04/2011,FOREST, , , , , , ,500179, , , , ,500179
Asian Development Bank,8723811264,TA:Strengthening the Town Development Fund Capacity for Public-Private Partnership,29/11/2010,URBAN DEVELOPMENT, , , , , , ,250000, , , , ,250000
Asian Development Bank,872381386204,Project Preparatory facility for Energy (PPFE),31/01/2014,HYDRO ELECTRICITY, , , , , , , , , ,21000000, ,21000000
Asian Development Bank,8723811263,TA:Preparing the Integrated Urban Development Project,13/12/2010,MISCELLANEOUS, , , , , , ,800000, , , , ,800000
Asian Development Bank,8723868212,Local Peace Committee,19/12/2008,PEACE AND RECONSTRUCTION, , , , ,4500000, , , , , , ,4500000
Asian Development Bank,872381998,Community Livestock Development Program (CLDP),02/12/2005,AGRICULTURE, , , , , , , , , , , ,20000000
Asian Development Bank,872381141,Community based Water Supply and Sanitation Sector Project,01/01/2004,DRINKING WATER, , , , , , , , , , , ,24000000
Asian Development Bank,872381642,Rural Finance Sector Development-Cluster Program  (Sub Program I),21/11/2006,FINANCIAL REFORM, , ,64700000, , , , , , , , ,64700000
Asian Development Bank,872381138,Urban and Environmental Improvement Project,02/10/2003,URBAN DEVELOPMENT, , , , , , , , , , , ,30000000
Asian Development Bank,87238112549,Assistance for Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,08/06/2011,LOCAL DEVELOPMENT, , , , , , ,2700000, , , , ,2700000
Asian Development Bank,8723883778,Local Governance and Community Development Program (LGCDP)- I Phase,16/07/2008,LOCAL DEVELOPMENT, , , , , ,106300000, , , , , ,106300000
Asian Development Bank,87238845484,Kathmandu Valley Waste water Management Project,31/07/2013,URBAN DEVELOPMENT, , , , , , , , ,80000000, , ,80000000
Asian Development Bank,8723868193,Road Connectivity Sector I Project,20/11/2006,ROAD TRANSPORTATION, , ,55000000, , , , , , , , ,55000000
Asian Development Bank,872383656,Commercial Agriculture Development Project (CADP),06/08/2007,AGRICULTURE, , ,18000000, , , , , , , , ,18000000
Asian Development Bank,8723867182,SASEC Information Highway Project,02/07/2009,COMMUNICATIONS, , , , ,9000000, , , , , , ,9000000
Asian Development Bank,8723867188,Emergency Flood Damage Rehabilitation Project,01/11/2009," - AGRICULTURE
 - IRRIGATION
 - ROAD TRANSPORTATION", , , , , ,25600000, , , , , ,25600000
Asian Development Bank,872381731,Second Small town Water Supply and Sanitation Sector Project,24/01/2010,DRINKING WATER, , , , , ,45100000, , , , , ,45100000
Asian Development Bank,8723867187,Air Transport Capacity Enhancement Project,,AIR TRANSPORTATION, , , , , ,75127061.45, , , , , ,75127061.45
Asian Development Bank,872382130,Kathmandu Valley Water Services Sector Development Project,08/07/2004,DRINKING WATER, , , , , , , , , , , ,10236885.51
Asian Development Bank,8723811542,Kathmandu Valley Water Supply Improvement Project,01/01/2012,DRINKING WATER, , , , , , , ,80000000, , , ,80000000
Asian Development Bank,872381194,Secondary Towns Integrated Urban Environmental Improvement Project,,URBAN DEVELOPMENT, , , , , , ,60000000, , , , ,60000000
Asian Development Bank,872383050,Gender Equality and Empowerment of Women Project,01/01/2007,"WOMEN, CHILDREN & SOCIAL WELFARE", ,10000000, , , , , , , , , ,10000000
Asian Development Bank,8723869224,Kathmandu Sustainable Urban Transport Project,26/01/2011,ROAD TRANSPORTATION, , , , , , ,20000000, , , , ,20000000
Asian Development Bank,872385165,Detailed Engineering Study for the Upper Seti Hydropower Project,01/10/2010,ENERGY, , , , , , ,2500000, , , , ,2500000
Asian Development Bank,8723868190,Raising Incomes of Small and Medium Farmers Project (RISMFP) - Crops Diversification,,AGRICULTURE, , , , , , ,20100000, , , , ,20100000
Asian Development Bank,8723819498,Mountain Agribusiness and Livelihood Improvement (HIMALI) Project,,AGRICULTURE, , , , , , ,20000000, , , , ,20000000
Asian Development Bank,8723816186,Capital Markets and Infrastructure Finance Support Project,,FINANCIAL REFORM, , , , , , ,5000000, , , , ,5000000
Asian Development Bank,872381702848,School Sector Programme (School Sector Reform Programme)Cofinancing by Australia,,EDUCATION, , , , , , , ,3465000, , , ,3465000
Asian Development Bank,872381933897,SASEC Sub-Regional Trade Facilitation Program,25/02/2013,COMMERCE, , , , , , , , ,15000000, , ,15000000
Asian Development Bank,8723816168,Rural Finance Sector Development Cluster Program (Sub Program 2),23/03/2011,FINANCIAL REFORM, , , , , , ,72267163.34, , , , ,72267163.34
Asian Development Bank,872381428664,Water Resource Preparatory Facility Project,,IRRIGATION, , , , , , , , ,11000000, , ,11000000
Asian Development Bank,8723814210,Community Irrigation Project,,LOCAL DEVELOPMENT, , , , , , ,26400000, , , , ,26400000
Asian Development Bank,8723869177,Sub Regional Transport Enhancement Project,,ROAD TRANSPORTATION, , , , , , ,49000000, , , , ,49000000
Asian Development Bank,8723869241,Transport Project Preparatory Facility Nepal,,ROAD TRANSPORTATION, , , , , , ,12000000, , , , ,12000000
Asian Development Bank,8723868192,South Asia Tourism Infrastructure Development Project,,TOURISM, , , , , ,25500000, , , ,33000000, ,58500000
Asian Development Bank,87238312320,Integrated Urban Development Project (Nepal),04/07/2012,URBAN DEVELOPMENT, , , , , , , ,12000000, , , ,12000000
Asian Development Bank,87238112461,Nepal Registration programme (JFPR 9157-NEP: Reducing Child Malnutrition through Social Protection ),08/06/2011,LOCAL DEVELOPMENT, , , , , , ,2000000, , , , ,2000000
Asian Development Bank,8723863210223,Establishing Women and Children Service Centres- Additional Financing,,HOME, , , , , , , , , , ,300000,300000
Asian Development Bank,87238206247,TA 7992-NEP: Skills Development Project,01/08/2013,EDUCATION, , , , , , , , , ,20000000, ,20000000
Asian Development Bank,872381656286,Building Climate Resilience of Watersheds in Mountain Eco-Regions,20/01/2014,FOREST, , , , , , , , , ,23500000, ,23500000
Asian Development Bank,8723816649,Electricity Transmission Expansion and Supply Improvement Project (ETESIP),23/03/2012,ELECTRICITY, , , , , , , ,75000000, , , ,75000000
